OrigRowNum,Table Type,Topic,Question,Table Section,Section Order,Row Type,Qnum2021,Topic2021,Qnum2018,Topic2018,,,,,,,,,,,,,,,,,,,,
1603,Closed End,Transportation,Q11B,Education,1,Header,Q14B_21,Transportation,Q13B_18,Transportation,Results by education level:,,,,,,,,,,,,,,,,,,,
1604,Closed End,Transportation,Q11B,Education,2,Data,Q14B_21,Transportation,Q13B_18,Transportation,"Less than HS diploma, no GED",30%,31%,25%,14%,48,,,,,,,,,,,,,,
1605,Closed End,Transportation,Q11B,Education,3,Data,Q14B_21,Transportation,Q13B_18,Transportation,HS diploma or GED,26%,37%,30%,7%,155,,,,,,,,,,,,,,
1606,Closed End,Transportation,Q11B,Education,4,Data,Q14B_21,Transportation,Q13B_18,Transportation,"Some college, trade school, or Associate degree",31%,38%,27%,5%,467,,,,,,,,,,,,,,
1607,Closed End,Transportation,Q11B,Education,5,Data,Q14B_21,Transportation,Q13B_18,Transportation,Bachelor's degree or higher,17%,43%,35%,5%,1066,,,,,,,,,,,,,,
1608,Closed End,Transportation,Q11B,Household income,1,Header,Q14B_21,Transportation,Q13B_18,Transportation,Results by household income:,,,,,,,,,,,,,,,,,,,
1609,Closed End,Transportation,Q11B,Household income,2,Data,Q14B_21,Transportation,Q13B_18,Transportation,"Less than $20,000",22%,34%,35%,9%,199,,,,,,,,,,,,,,
1610,Closed End,Transportation,Q11B,Household income,3,Data,Q14B_21,Transportation,Q13B_18,Transportation,"$20,000 to $39,999",28%,35%,32%,5%,221,,,,,,,,,,,,,,
1611,Closed End,Transportation,Q11B,Household income,4,Data,Q14B_21,Transportation,Q13B_18,Transportation,"$40,000 to $59,999",29%,36%,31%,4%,224,,,,,,,,,,,,,,
1612,Closed End,Transportation,Q11B,Household income,5,Data,Q14B_21,Transportation,Q13B_18,Transportation,"$60,000 to $79,999",20%,45%,27%,8%,200,,,,,,,,,,,,,,
1613,Closed End,Transportation,Q11B,Household income,6,Data,Q14B_21,Transportation,Q13B_18,Transportation,"$80,000 to $99,999",18%,42%,31%,9%,160,,,,,,,,,,,,,,
1614,Closed End,Transportation,Q11B,Household income,7,Data,Q14B_21,Transportation,Q13B_18,Transportation,"$100,000 to $149,999",22%,47%,28%,3%,248,,,,,,,,,,,,,,
1615,Closed End,Transportation,Q11B,Household income,8,Data,Q14B_21,Transportation,Q13B_18,Transportation,"$150,000 or more",17%,43%,36%,4%,258,,,,,,,,,,,,,,
1616,Closed End,Transportation,Q11B,Housing status,1,Header,Q14B_21,Transportation,Q13B_18,Transportation,Results by housing status:,,,,,,,,,,,,,,,,,,,
1617,Closed End,Transportation,Q11B,Housing status,2,Data,Q14B_21,Transportation,Q13B_18,Transportation,Owner,21%,41%,32%,6%,1217,,,,,,,,,,,,,,
1618,Closed End,Transportation,Q11B,Housing status,3,Data,Q14B_21,Transportation,Q13B_18,Transportation,Renter,26%,39%,29%,6%,558,,,,,,,,,,,,,,
1619,Closed End,Transportation,Q11B,Housing status,4,Data,Q14B_21,Transportation,Q13B_18,Transportation,"Lives with family or friends, homeless, or some other arrangement",22%,42%,30%,6%,43,,,,,,,,,,,,,,
1620,Closed End,Transportation,Q11B,Home language,1,Header,Q14B_21,Transportation,Q13B_18,Transportation,Results by home language:,,,,,,,,,,,,,,,,,,,
1621,Closed End,Transportation,Q11B,Home language,2,Data,Q14B_21,Transportation,Q13B_18,Transportation,English only,23%,42%,30%,5%,1491,,,,,,,,,,,,,,
1622,Closed End,Transportation,Q11B,Home language,3,Data,Q14B_21,Transportation,Q13B_18,Transportation,English plus another language,23%,37%,32%,8%,169,,,,,,,,,,,,,,
1623,Closed End,Transportation,Q11B,Home language,4,Data,Q14B_21,Transportation,Q13B_18,Transportation,Another language only,13%,29%,46%,11%,91,,,,,,,,,,,,,,
1624,Closed End,Transportation,Q11B,Race / ethnicity,1,Header,Q14B_21,Transportation,Q13B_18,Transportation,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
1625,Closed End,Transportation,Q11B,Race / ethnicity,2,Data,Q14B_21,Transportation,Q13B_18,Transportation,BIPOC,22%,36%,34%,8%,436,,,,,,,,,,,,,,
1626,Closed End,Transportation,Q11B,Race / ethnicity,3,Data,Q14B_21,Transportation,Q13B_18,Transportation,"American Indian, Native American, or Alaska Native",28%,39%,23%,10%,47,,,,,,,,,,,,,,
1627,Closed End,Transportation,Q11B,Race / ethnicity,4,Data,Q14B_21,Transportation,Q13B_18,Transportation,Asian American or Asian,21%,35%,36%,8%,160,,,,,,,,,,,,,,
1628,Closed End,Transportation,Q11B,Race / ethnicity,5,Data,Q14B_21,Transportation,Q13B_18,Transportation,"Black, African American, or African",23%,34%,34%,8%,152,,,,,,,,,,,,,,
1629,Closed End,Transportation,Q11B,Race / ethnicity,6,Data,Q14B_21,Transportation,Q13B_18,Transportation,Latino/a or Hispanic,21%,40%,33%,5%,104,,,,,,,,,,,,,,
1630,Closed End,Transportation,Q11B,Race / ethnicity,7,Data,Q14B_21,Transportation,Q13B_18,Transportation,White or Caucasian alone,22%,43%,30%,5%,1239,,,,,,,,,,,,,,
1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Closed End,Transportation,Q11C,Title,1,Title,Q14C_21,Transportation,,,11C. Please rate the crime-related safety of public transit in the East Metro.,,,,,,,,,,,,,,,,,,,
1633,Closed End,Transportation,Q11C,Column labels,1,Labels,Q14C_21,Transportation,,,,Poor,Fair,Good,Excellent,Number of respondents (unweighted),,,,,,,,,,,,,,
1634,Closed End,Transportation,Q11C,Region,1,Header,Q14C_21,Transportation,,,Results by region:,,,,,,,,,,,,,,,,,,,
1635,Closed End,Transportation,Q11C,Region,2,Data,Q14C_21,Transportation,,,East Metro overall,38%,32%,24%,5%,1882,,,,,,,,,,,,,,
1636,Closed End,Transportation,Q11C,Region,3,Data,Q14C_21,Transportation,,,Dakota County,24%,29%,36%,11%,364,,,,,,,,,,,,,,
1637,Closed End,Transportation,Q11C,Region,4,Data,Q14C_21,Transportation,,,Ramsey County (overall),45%,33%,20%,2%,1267,,,,,,,,,,,,,,
1638,Closed End,Transportation,Q11C,Region,5,Data,Q14C_21,Transportation,,,City of Saint Paul,48%,34%,16%,2%,843,,,,,,,,,,,,,,
1639,Closed End,Transportation,Q11C,Region,6,Data,Q14C_21,Transportation,,,Suburban Ramsey County,39%,31%,27%,3%,424,,,,,,,,,,,,,,
1640,Closed End,Transportation,Q11C,Region,7,Data,Q14C_21,Transportation,,,Washington County,35%,35%,21%,8%,251,,,,,,,,,,,,,,
1641,Closed End,Transportation,Q11C,Gender,1,Header,Q14C_21,Transportation,,,Results by gender identity:,,,,,,,,,,,,,,,,,,,
1642,Closed End,Transportation,Q11C,Gender,2,Data,Q14C_21,Transportation,,,Females,36%,33%,25%,6%,1007,,,,,,,,,,,,,,
1643,Closed End,Transportation,Q11C,Gender,3,Data,Q14C_21,Transportation,,,Males,39%,31%,24%,5%,757,,,,,,,,,,,,,,
1644,Closed End,Transportation,Q11C,Age,1,Header,Q14C_21,Transportation,,,Results by age:,,,,,,,,,,,,,,,,,,,
1645,Closed End,Transportation,Q11C,Age,2,Data,Q14C_21,Transportation,,,18-34,38%,35%,22%,4%,270,,,,,,,,,,,,,,
1646,Closed End,Transportation,Q11C,Age,3,Data,Q14C_21,Transportation,,,35-44,29%,37%,29%,5%,296,,,,,,,,,,,,,,
1647,Closed End,Transportation,Q11C,Age,4,Data,Q14C_21,Transportation,,,45-54,40%,32%,22%,7%,228,,,,,,,,,,,,,,
1648,Closed End,Transportation,Q11C,Age,5,Data,Q14C_21,Transportation,,,55-64,37%,29%,29%,5%,282,,,,,,,,,,,,,,
1649,Closed End,Transportation,Q11C,Age,6,Data,Q14C_21,Transportation,,,65+,38%,33%,24%,5%,540,,,,,,,,,,,,,,
1650,Closed End,Transportation,Q11C,Education,1,Header,Q14C_21,Transportation,,,Results by education level:,,,,,,,,,,,,,,,,,,,
1651,Closed End,Transportation,Q11C,Education,2,Data,Q14C_21,Transportation,,,"Less than HS diploma, no GED",41%,24%,16%,19%,49,,,,,,,,,,,,,,
1652,Closed End,Transportation,Q11C,Education,3,Data,Q14C_21,Transportation,,,HS diploma or GED,44%,27%,25%,4%,162,,,,,,,,,,,,,,
1653,Closed End,Transportation,Q11C,Education,4,Data,Q14C_21,Transportation,,,"Some college, trade school, or Associate degree",46%,29%,20%,5%,479,,,,,,,,,,,,,,
1654,Closed End,Transportation,Q11C,Education,5,Data,Q14C_21,Transportation,,,Bachelor's degree or higher,30%,37%,27%,5%,1095,,,,,,,,,,,,,,
1655,Closed End,Transportation,Q11C,Household income,1,Header,Q14C_21,Transportation,,,Results by household income:,,,,,,,,,,,,,,,,,,,
1656,Closed End,Transportation,Q11C,Household income,2,Data,Q14C_21,Transportation,,,"Less than $20,000",41%,23%,28%,7%,201,,,,,,,,,,,,,,
1657,Closed End,Transportation,Q11C,Household income,3,Data,Q14C_21,Transportation,,,"$20,000 to $39,999",42%,30%,25%,4%,214,,,,,,,,,,,,,,
1658,Closed End,Transportation,Q11C,Household income,4,Data,Q14C_21,Transportation,,,"$40,000 to $59,999",46%,27%,23%,4%,230,,,,,,,,,,,,,,
1659,Closed End,Transportation,Q11C,Household income,5,Data,Q14C_21,Transportation,,,"$60,000 to $79,999",34%,36%,24%,7%,211,,,,,,,,,,,,,,
1660,Closed End,Transportation,Q11C,Household income,6,Data,Q14C_21,Transportation,,,"$80,000 to $99,999",29%,37%,30%,4%,166,,,,,,,,,,,,,,
1661,Closed End,Transportation,Q11C,Household income,7,Data,Q14C_21,Transportation,,,"$100,000 to $149,999",35%,41%,18%,5%,257,,,,,,,,,,,,,,
1662,Closed End,Transportation,Q11C,Household income,8,Data,Q14C_21,Transportation,,,"$150,000 or more",33%,32%,29%,5%,259,,,,,,,,,,,,,,
1663,Closed End,Transportation,Q11C,Housing status,1,Header,Q14C_21,Transportation,,,Results by housing status:,,,,,,,,,,,,,,,,,,,
1664,Closed End,Transportation,Q11C,Housing status,2,Data,Q14C_21,Transportation,,,Owner,36%,33%,25%,6%,1267,,,,,,,,,,,,,,
1665,Closed End,Transportation,Q11C,Housing status,3,Data,Q14C_21,Transportation,,,Renter,41%,32%,23%,4%,559,,,,,,,,,,,,,,
1666,Closed End,Transportation,Q11C,Housing status,4,Data,Q14C_21,Transportation,,,"Lives with family or friends, homeless, or some other arrangement",41%,20%,37%,3%,43,,,,,,,,,,,,,,
1667,Closed End,Transportation,Q11C,Home language,1,Header,Q14C_21,Transportation,,,Results by home language:,,,,,,,,,,,,,,,,,,,
1668,Closed End,Transportation,Q11C,Home language,2,Data,Q14C_21,Transportation,,,English only,39%,34%,22%,5%,1547,,,,,,,,,,,,,,
1669,Closed End,Transportation,Q11C,Home language,3,Data,Q14C_21,Transportation,,,English plus another language,36%,26%,29%,8%,162,,,,,,,,,,,,,,
1670,Closed End,Transportation,Q11C,Home language,4,Data,Q14C_21,Transportation,,,Another language only,25%,24%,42%,10%,89,,,,,,,,,,,,,,
1671,Closed End,Transportation,Q11C,Race / ethnicity,1,Header,Q14C_21,Transportation,,,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
1672,Closed End,Transportation,Q11C,Race / ethnicity,2,Data,Q14C_21,Transportation,,,BIPOC,37%,28%,28%,7%,422,,,,,,,,,,,,,,
1673,Closed End,Transportation,Q11C,Race / ethnicity,3,Data,Q14C_21,Transportation,,,"American Indian, Native American, or Alaska Native",65%,14%,13%,8%,49,,,,,,,,,,,,,,
1674,Closed End,Transportation,Q11C,Race / ethnicity,4,Data,Q14C_21,Transportation,,,Asian American or Asian,38%,31%,25%,6%,160,,,,,,,,,,,,,,
1675,Closed End,Transportation,Q11C,Race / ethnicity,5,Data,Q14C_21,Transportation,,,"Black, African American, or African",40%,24%,28%,8%,148,,,,,,,,,,,,,,
1676,Closed End,Transportation,Q11C,Race / ethnicity,6,Data,Q14C_21,Transportation,,,Latino/a or Hispanic,35%,27%,31%,7%,95,,,,,,,,,,,,,,
1677,Closed End,Transportation,Q11C,Race / ethnicity,7,Data,Q14C_21,Transportation,,,White or Caucasian alone,37%,35%,23%,4%,1294,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Closed End,Transportation,Q11D,Title,1,Title,Q14D_21,Transportation,,,11D. Please rate the health-related safety of public transit in the East Metro.,,,,,,,,,,,,,,,,,,,
1680,Closed End,Transportation,Q11D,Column labels,1,Labels,Q14D_21,Transportation,,,,Poor,Fair,Good,Excellent,Number of respondents (unweighted),,,,,,,,,,,,,,
1681,Closed End,Transportation,Q11D,Region,1,Header,Q14D_21,Transportation,,,Results by region:,,,,,,,,,,,,,,,,,,,
1682,Closed End,Transportation,Q11D,Region,2,Data,Q14D_21,Transportation,,,East Metro overall,27%,34%,32%,7%,1707,,,,,,,,,,,,,,
1683,Closed End,Transportation,Q11D,Region,3,Data,Q14D_21,Transportation,,,Dakota County,14%,29%,43%,14%,335,,,,,,,,,,,,,,
1684,Closed End,Transportation,Q11D,Region,4,Data,Q14D_21,Transportation,,,Ramsey County (overall),33%,36%,28%,4%,1152,,,,,,,,,,,,,,
1685,Closed End,Transportation,Q11D,Region,5,Data,Q14D_21,Transportation,,,City of Saint Paul,35%,37%,25%,4%,768,,,,,,,,,,,,,,
1686,Closed End,Transportation,Q11D,Region,6,Data,Q14D_21,Transportation,,,Suburban Ramsey County,28%,34%,33%,5%,384,,,,,,,,,,,,,,
1687,Closed End,Transportation,Q11D,Region,7,Data,Q14D_21,Transportation,,,Washington County,25%,39%,27%,9%,220,,,,,,,,,,,,,,
1688,Closed End,Transportation,Q11D,Gender,1,Header,Q14D_21,Transportation,,,Results by gender identity:,,,,,,,,,,,,,,,,,,,
1689,Closed End,Transportation,Q11D,Gender,2,Data,Q14D_21,Transportation,,,Females,25%,36%,32%,7%,902,,,,,,,,,,,,,,
1690,Closed End,Transportation,Q11D,Gender,3,Data,Q14D_21,Transportation,,,Males,27%,33%,32%,8%,699,,,,,,,,,,,,,,
1691,Closed End,Transportation,Q11D,Age,1,Header,Q14D_21,Transportation,,,Results by age:,,,,,,,,,,,,,,,,,,,
1692,Closed End,Transportation,Q11D,Age,2,Data,Q14D_21,Transportation,,,18-34,26%,38%,28%,8%,252,,,,,,,,,,,,,,
1693,Closed End,Transportation,Q11D,Age,3,Data,Q14D_21,Transportation,,,35-44,22%,37%,36%,5%,276,,,,,,,,,,,,,,
1694,Closed End,Transportation,Q11D,Age,4,Data,Q14D_21,Transportation,,,45-54,29%,33%,30%,8%,217,,,,,,,,,,,,,,
1695,Closed End,Transportation,Q11D,Age,5,Data,Q14D_21,Transportation,,,55-64,21%,32%,38%,8%,250,,,,,,,,,,,,,,
1696,Closed End,Transportation,Q11D,Age,6,Data,Q14D_21,Transportation,,,65+,29%,34%,31%,6%,473,,,,,,,,,,,,,,
1697,Closed End,Transportation,Q11D,Education,1,Header,Q14D_21,Transportation,,,Results by education level:,,,,,,,,,,,,,,,,,,,
1698,Closed End,Transportation,Q11D,Education,2,Data,Q14D_21,Transportation,,,"Less than HS diploma, no GED",38%,23%,21%,19%,47,,,,,,,,,,,,,,
1699,Closed End,Transportation,Q11D,Education,3,Data,Q14D_21,Transportation,,,HS diploma or GED,35%,29%,29%,7%,150,,,,,,,,,,,,,,
1700,Closed End,Transportation,Q11D,Education,4,Data,Q14D_21,Transportation,,,"Some college, trade school, or Associate degree",32%,34%,27%,7%,444,,,,,,,,,,,,,,
1701,Closed End,Transportation,Q11D,Education,5,Data,Q14D_21,Transportation,,,Bachelor's degree or higher,18%,38%,37%,7%,975,,,,,,,,,,,,,,
1702,Closed End,Transportation,Q11D,Household income,1,Header,Q14D_21,Transportation,,,Results by household income:,,,,,,,,,,,,,,,,,,,
1703,Closed End,Transportation,Q11D,Household income,2,Data,Q14D_21,Transportation,,,"Less than $20,000",30%,32%,29%,9%,192,,,,,,,,,,,,,,
1704,Closed End,Transportation,Q11D,Household income,3,Data,Q14D_21,Transportation,,,"$20,000 to $39,999",34%,33%,29%,4%,201,,,,,,,,,,,,,,
1705,Closed End,Transportation,Q11D,Household income,4,Data,Q14D_21,Transportation,,,"$40,000 to $59,999",33%,39%,24%,5%,204,,,,,,,,,,,,,,
1706,Closed End,Transportation,Q11D,Household income,5,Data,Q14D_21,Transportation,,,"$60,000 to $79,999",21%,38%,30%,11%,181,,,,,,,,,,,,,,
1707,Closed End,Transportation,Q11D,Household income,6,Data,Q14D_21,Transportation,,,"$80,000 to $99,999",21%,33%,40%,7%,149,,,,,,,,,,,,,,
1708,Closed End,Transportation,Q11D,Household income,7,Data,Q14D_21,Transportation,,,"$100,000 to $149,999",24%,41%,29%,7%,231,,,,,,,,,,,,,,
1709,Closed End,Transportation,Q11D,Household income,8,Data,Q14D_21,Transportation,,,"$150,000 or more",19%,31%,42%,8%,238,,,,,,,,,,,,,,
1710,Closed End,Transportation,Q11D,Housing status,1,Header,Q14D_21,Transportation,,,Results by housing status:,,,,,,,,,,,,,,,,,,,
1711,Closed End,Transportation,Q11D,Housing status,2,Data,Q14D_21,Transportation,,,Owner,24%,35%,33%,8%,1118,,,,,,,,,,,,,,
1712,Closed End,Transportation,Q11D,Housing status,3,Data,Q14D_21,Transportation,,,Renter,33%,32%,29%,6%,535,,,,,,,,,,,,,,
1713,Closed End,Transportation,Q11D,Housing status,4,Data,Q14D_21,Transportation,,,"Lives with family or friends, homeless, or some other arrangement",27%,35%,34%,4%,39,,,,,,,,,,,,,,
1714,Closed End,Transportation,Q11D,Home language,1,Header,Q14D_21,Transportation,,,Results by home language:,,,,,,,,,,,,,,,,,,,
1715,Closed End,Transportation,Q11D,Home language,2,Data,Q14D_21,Transportation,,,English only,26%,37%,30%,7%,1383,,,,,,,,,,,,,,
1716,Closed End,Transportation,Q11D,Home language,3,Data,Q14D_21,Transportation,,,English plus another language,30%,24%,34%,12%,156,,,,,,,,,,,,,,
1717,Closed End,Transportation,Q11D,Home language,4,Data,Q14D_21,Transportation,,,Another language only,24%,22%,43%,11%,91,,,,,,,,,,,,,,
1718,Closed End,Transportation,Q11D,Race / ethnicity,1,Header,Q14D_21,Transportation,,,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
1719,Closed End,Transportation,Q11D,Race / ethnicity,2,Data,Q14D_21,Transportation,,,BIPOC,30%,30%,32%,9%,406,,,,,,,,,,,,,,
1720,Closed End,Transportation,Q11D,Race / ethnicity,3,Data,Q14D_21,Transportation,,,"American Indian, Native American, or Alaska Native",50%,20%,13%,16%,46,,,,,,,,,,,,,,
1721,Closed End,Transportation,Q11D,Race / ethnicity,4,Data,Q14D_21,Transportation,,,Asian American or Asian,31%,32%,29%,8%,153,,,,,,,,,,,,,,
1722,Closed End,Transportation,Q11D,Race / ethnicity,5,Data,Q14D_21,Transportation,,,"Black, African American, or African",30%,29%,32%,9%,140,,,,,,,,,,,,,,
1723,Closed End,Transportation,Q11D,Race / ethnicity,6,Data,Q14D_21,Transportation,,,Latino/a or Hispanic,28%,28%,34%,9%,94,,,,,,,,,,,,,,
1724,Closed End,Transportation,Q11D,Race / ethnicity,7,Data,Q14D_21,Transportation,,,White or Caucasian alone,24%,38%,32%,6%,1149,,,,,,,,,,,,,,
1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Closed End,Transportation,Q11E,Title,1,Title,Q14E_21,Transportation,Q13D_18,Transportation,11E. Please rate the cost to use public transit in the East Metro.,,,,,,,,,,,,,,,,,,,
1727,Closed End,Transportation,Q11E,Column labels,1,Labels,Q14E_21,Transportation,Q13D_18,Transportation,,Poor,Fair,Good,Excellent,Number of respondents (unweighted),,,,,,,,,,,,,,
1728,Closed End,Transportation,Q11E,Region,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by region:,,,,,,,,,,,,,,,,,,,
1729,Closed End,Transportation,Q11E,Region,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,East Metro overall,6%,39%,41%,14%,1794,,,,,,,,,,,,,,
1730,Closed End,Transportation,Q11E,Region,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,Dakota County,4%,37%,43%,16%,352,,,,,,,,,,,,,,
1731,Closed End,Transportation,Q11E,Region,4,Data,Q14E_21,Transportation,Q13D_18,Transportation,Ramsey County (overall),7%,41%,40%,12%,1219,,,,,,,,,,,,,,
1732,Closed End,Transportation,Q11E,Region,5,Data,Q14E_21,Transportation,Q13D_18,Transportation,City of Saint Paul,8%,36%,42%,13%,800,,,,,,,,,,,,,,
1733,Closed End,Transportation,Q11E,Region,6,Data,Q14E_21,Transportation,Q13D_18,Transportation,Suburban Ramsey County,4%,49%,37%,10%,419,,,,,,,,,,,,,,
1734,Closed End,Transportation,Q11E,Region,7,Data,Q14E_21,Transportation,Q13D_18,Transportation,Washington County,5%,38%,42%,15%,223,,,,,,,,,,,,,,
1735,Closed End,Transportation,Q11E,Gender,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by gender identity:,,,,,,,,,,,,,,,,,,,
1736,Closed End,Transportation,Q11E,Gender,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,Females,6%,42%,39%,13%,972,,,,,,,,,,,,,,
1737,Closed End,Transportation,Q11E,Gender,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,Males,5%,37%,44%,15%,713,,,,,,,,,,,,,,
1738,Closed End,Transportation,Q11E,Age,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by age:,,,,,,,,,,,,,,,,,,,
1739,Closed End,Transportation,Q11E,Age,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,18-34,8%,41%,36%,15%,265,,,,,,,,,,,,,,
1740,Closed End,Transportation,Q11E,Age,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,35-44,3%,40%,47%,10%,300,,,,,,,,,,,,,,
1741,Closed End,Transportation,Q11E,Age,4,Data,Q14E_21,Transportation,Q13D_18,Transportation,45-54,4%,40%,47%,10%,229,,,,,,,,,,,,,,
1742,Closed End,Transportation,Q11E,Age,5,Data,Q14E_21,Transportation,Q13D_18,Transportation,55-64,5%,38%,45%,11%,258,,,,,,,,,,,,,,
1743,Closed End,Transportation,Q11E,Age,6,Data,Q14E_21,Transportation,Q13D_18,Transportation,65+,5%,38%,42%,16%,492,,,,,,,,,,,,,,
1744,Closed End,Transportation,Q11E,Education,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by education level:,,,,,,,,,,,,,,,,,,,
1745,Closed End,Transportation,Q11E,Education,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,"Less than HS diploma, no GED",6%,42%,33%,19%,45,,,,,,,,,,,,,,
1746,Closed End,Transportation,Q11E,Education,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,HS diploma or GED,8%,46%,33%,13%,150,,,,,,,,,,,,,,
1747,Closed End,Transportation,Q11E,Education,4,Data,Q14E_21,Transportation,Q13D_18,Transportation,"Some college, trade school, or Associate degree",7%,43%,37%,13%,433,,,,,,,,,,,,,,
1748,Closed End,Transportation,Q11E,Education,5,Data,Q14E_21,Transportation,Q13D_18,Transportation,Bachelor's degree or higher,3%,34%,49%,14%,1077,,,,,,,,,,,,,,
1749,Closed End,Transportation,Q11E,Household income,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by household income:,,,,,,,,,,,,,,,,,,,
1750,Closed End,Transportation,Q11E,Household income,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,"Less than $20,000",8%,37%,36%,19%,200,,,,,,,,,,,,,,
1751,Closed End,Transportation,Q11E,Household income,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,"$20,000 to $39,999",10%,46%,33%,11%,202,,,,,,,,,,,,,,
1752,Closed End,Transportation,Q11E,Household income,4,Data,Q14E_21,Transportation,Q13D_18,Transportation,"$40,000 to $59,999",6%,44%,43%,7%,209,,,,,,,,,,,,,,
1753,Closed End,Transportation,Q11E,Household income,5,Data,Q14E_21,Transportation,Q13D_18,Transportation,"$60,000 to $79,999",4%,41%,35%,20%,204,,,,,,,,,,,,,,
1754,Closed End,Transportation,Q11E,Household income,6,Data,Q14E_21,Transportation,Q13D_18,Transportation,"$80,000 to $99,999",4%,36%,46%,14%,158,,,,,,,,,,,,,,
1755,Closed End,Transportation,Q11E,Household income,7,Data,Q14E_21,Transportation,Q13D_18,Transportation,"$100,000 to $149,999",3%,39%,46%,13%,244,,,,,,,,,,,,,,
1756,Closed End,Transportation,Q11E,Household income,8,Data,Q14E_21,Transportation,Q13D_18,Transportation,"$150,000 or more",3%,34%,48%,15%,268,,,,,,,,,,,,,,
1757,Closed End,Transportation,Q11E,Housing status,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by housing status:,,,,,,,,,,,,,,,,,,,
1758,Closed End,Transportation,Q11E,Housing status,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,Owner,4%,39%,43%,14%,1190,,,,,,,,,,,,,,
1759,Closed End,Transportation,Q11E,Housing status,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,Renter,9%,41%,37%,12%,549,,,,,,,,,,,,,,
1760,Closed End,Transportation,Q11E,Housing status,4,Data,Q14E_21,Transportation,Q13D_18,Transportation,"Lives with family or friends, homeless, or some other arrangement",10%,38%,39%,14%,43,,,,,,,,,,,,,,
1761,Closed End,Transportation,Q11E,Home language,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by home language:,,,,,,,,,,,,,,,,,,,
1762,Closed End,Transportation,Q11E,Home language,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,English only,5%,40%,42%,14%,1460,,,,,,,,,,,,,,
1763,Closed End,Transportation,Q11E,Home language,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,English plus another language,7%,39%,38%,16%,172,,,,,,,,,,,,,,
1764,Closed End,Transportation,Q11E,Home language,4,Data,Q14E_21,Transportation,Q13D_18,Transportation,Another language only,6%,35%,49%,11%,88,,,,,,,,,,,,,,
1765,Closed End,Transportation,Q11E,Race / ethnicity,1,Header,Q14E_21,Transportation,Q13D_18,Transportation,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
1766,Closed End,Transportation,Q11E,Race / ethnicity,2,Data,Q14E_21,Transportation,Q13D_18,Transportation,BIPOC,6%,44%,35%,15%,419,,,,,,,,,,,,,,
1767,Closed End,Transportation,Q11E,Race / ethnicity,3,Data,Q14E_21,Transportation,Q13D_18,Transportation,"American Indian, Native American, or Alaska Native",10%,38%,38%,14%,46,,,,,,,,,,,,,,
1768,Closed End,Transportation,Q11E,Race / ethnicity,4,Data,Q14E_21,Transportation,Q13D_18,Transportation,Asian American or Asian,6%,43%,38%,13%,160,,,,,,,,,,,,,,
1769,Closed End,Transportation,Q11E,Race / ethnicity,5,Data,Q14E_21,Transportation,Q13D_18,Transportation,"Black, African American, or African",8%,43%,34%,16%,142,,,,,,,,,,,,,,
1770,Closed End,Transportation,Q11E,Race / ethnicity,6,Data,Q14E_21,Transportation,Q13D_18,Transportation,Latino/a or Hispanic,4%,50%,31%,15%,98,,,,,,,,,,,,,,
1771,Closed End,Transportation,Q11E,Race / ethnicity,7,Data,Q14E_21,Transportation,Q13D_18,Transportation,White or Caucasian alone,4%,37%,46%,13%,1227,,,,,,,,,,,,,,
1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Closed End,Transportation,Q11F,Title,1,Title,Q14F_21,Transportation,Q13E_18,Transportation,11F. Please rate the road conditions and maintenance in the East Metro.,,,,,,,,,,,,,,,,,,,
1774,Closed End,Transportation,Q11F,Column labels,1,Labels,Q14F_21,Transportation,Q13E_18,Transportation,,Poor,Fair,Good,Excellent,Number of respondents (unweighted),,,,,,,,,,,,,,
