OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,Question_2021,Qnum2018,Topic2018,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
1807,Closed End,Transportation,Q13B_21,Region,1,Header,Q14B_21,Q13B_18,Transportation,Results by region:,,,,,,,,,,,,,,,,,,,
1808,Closed End,Transportation,Q13B_21,Region,2,Data,Q14B_21,Q13B_18,Transportation,   East Metro overall,8%,38%,35%,19%,1751,,,,,,,,,,,,,,
1809,Closed End,Transportation,Q13B_21,Region,3,Data,Q14B_21,Q13B_18,Transportation,   Dakota County,19%,57%,18%,6%,138,,,,,,,,,,,,,,
1810,Closed End,Transportation,Q13B_21,Region,4,Data,Q14B_21,Q13B_18,Transportation,   Ramsey County (overall),5%,31%,42%,22%,1507,,,,,,,,,,,,,,
1811,Closed End,Transportation,Q13B_21,Region,5,Data,Q14B_21,Q13B_18,Transportation,      City of Saint Paul,6%,29%,39%,26%,1341,,,,,,,,,,,,,,
1812,Closed End,Transportation,Q13B_21,Region,6,Data,Q14B_21,Q13B_18,Transportation,      Suburban Ramsey County,2%,36%,47%,15%,166,,,,,,,,,,,,,,
1813,Closed End,Transportation,Q13B_21,Region,7,Data,Q14B_21,Q13B_18,Transportation,   Washington County,4%,41%,34%,21%,106,,,,,,,,,,,,,,
1814,Closed End,Transportation,Q13B_21,Gender,1,Header,Q14B_21,Q13B_18,Transportation,Results by gender:,,,,,,,,,,,,,,,,,,,
1815,Closed End,Transportation,Q13B_21,Gender,2,Data,Q14B_21,Q13B_18,Transportation,   Females,9%,39%,34%,18%,1015,,,,,,,,,,,,,,
1816,Closed End,Transportation,Q13B_21,Gender,3,Data,Q14B_21,Q13B_18,Transportation,   Males,7%,38%,37%,18%,641,,,,,,,,,,,,,,
1817,Closed End,Transportation,Q13B_21,Age,1,Header,Q14B_21,Q13B_18,Transportation,Results by age:,,,,,,,,,,,,,,,,,,,
1818,Closed End,Transportation,Q13B_21,Age,2,Data,Q14B_21,Q13B_18,Transportation,   18-34,9%,23%,47%,21%,272,,,,,,,,,,,,,,
1819,Closed End,Transportation,Q13B_21,Age,3,Data,Q14B_21,Q13B_18,Transportation,   35-44,7%,49%,29%,15%,266,,,,,,,,,,,,,,
1820,Closed End,Transportation,Q13B_21,Age,4,Data,Q14B_21,Q13B_18,Transportation,   45-54,6%,40%,38%,17%,213,,,,,,,,,,,,,,
1821,Closed End,Transportation,Q13B_21,Age,5,Data,Q14B_21,Q13B_18,Transportation,   55-64,9%,44%,32%,15%,334,,,,,,,,,,,,,,
1822,Closed End,Transportation,Q13B_21,Age,6,Data,Q14B_21,Q13B_18,Transportation,   65+,10%,44%,34%,12%,393,,,,,,,,,,,,,,
1823,Closed End,Transportation,Q13B_21,Education,1,Header,Q14B_21,Q13B_18,Transportation,Results by education level:,,,,,,,,,,,,,,,,,,,
1824,Closed End,Transportation,Q13B_21,Education,2,Data,Q14B_21,Q13B_18,Transportation,   "Less than HS diploma, no GED",7%,44%,27%,23%,81,,,,,,,,,,,,,,
1825,Closed End,Transportation,Q13B_21,Education,3,Data,Q14B_21,Q13B_18,Transportation,   HS diploma or GED,8%,36%,28%,28%,232,,,,,,,,,,,,,,
1826,Closed End,Transportation,Q13B_21,Education,4,Data,Q14B_21,Q13B_18,Transportation,   "Some college, trade school, or Associate degree",7%,43%,35%,15%,558,,,,,,,,,,,,,,
1827,Closed End,Transportation,Q13B_21,Education,5,Data,Q14B_21,Q13B_18,Transportation,   Bachelor's degree or higher,9%,35%,40%,16%,821,,,,,,,,,,,,,,
1828,Closed End,Transportation,Q13B_21,Household income,1,Header,Q14B_21,Q13B_18,Transportation,Results by household income:,,,,,,,,,,,,,,,,,,,
1829,Closed End,Transportation,Q13B_21,Household income,2,Data,Q14B_21,Q13B_18,Transportation,   "Less than $20,000",5%,41%,25%,29%,377,,,,,,,,,,,,,,
1830,Closed End,Transportation,Q13B_21,Household income,3,Data,Q14B_21,Q13B_18,Transportation,   "$20,000 to $39,999",16%,28%,38%,18%,277,,,,,,,,,,,,,,
1831,Closed End,Transportation,Q13B_21,Household income,4,Data,Q14B_21,Q13B_18,Transportation,   "$40,000 to $59,999",4%,33%,43%,21%,227,,,,,,,,,,,,,,
1832,Closed End,Transportation,Q13B_21,Household income,5,Data,Q14B_21,Q13B_18,Transportation,   "$60,000 to $79,999",4%,28%,47%,21%,169,,,,,,,,,,,,,,
1833,Closed End,Transportation,Q13B_21,Household income,6,Data,Q14B_21,Q13B_18,Transportation,   "$80,000 to $99,999",8%,40%,39%,13%,138,,,,,,,,,,,,,,
1834,Closed End,Transportation,Q13B_21,Household income,7,Data,Q14B_21,Q13B_18,Transportation,   "$100,000 to $149,999",11%,43%,32%,13%,165,,,,,,,,,,,,,,
1835,Closed End,Transportation,Q13B_21,Household income,8,Data,Q14B_21,Q13B_18,Transportation,   "$150,000 or more",5%,48%,36%,11%,124,,,,,,,,,,,,,,
1836,Closed End,Transportation,Q13B_21,Housing status,1,Header,Q14B_21,Q13B_18,Transportation,Results by housing status:,,,,,,,,,,,,,,,,,,,
1837,Closed End,Transportation,Q13B_21,Housing status,2,Data,Q14B_21,Q13B_18,Transportation,   Owner,7%,42%,35%,16%,957,,,,,,,,,,,,,,
1838,Closed End,Transportation,Q13B_21,Housing status,3,Data,Q14B_21,Q13B_18,Transportation,   Renter,9%,34%,33%,24%,738,,,,,,,,,,,,,,
1839,Closed End,Transportation,Q13B_21,Housing status,4,Data,Q14B_21,Q13B_18,Transportation,   "Lives with family or friends, homeless, or some other arrangement",5%,12%,65%,18%,47,,,,,,,,,,,,,,
1840,Closed End,Transportation,Q13B_21,Home language,1,Header,Q14B_21,Q13B_18,Transportation,Results by home language:,,,,,,,,,,,,,,,,,,,
1841,Closed End,Transportation,Q13B_21,Home language,2,Data,Q14B_21,Q13B_18,Transportation,   English only,8%,41%,34%,18%,1433,,,,,,,,,,,,,,
1842,Closed End,Transportation,Q13B_21,Home language,3,Data,Q14B_21,Q13B_18,Transportation,   English plus another language,3%,29%,48%,21%,176,,,,,,,,,,,,,,
1843,Closed End,Transportation,Q13B_21,Home language,4,Data,Q14B_21,Q13B_18,Transportation,   Another language only,23%,20%,40%,18%,83,,,,,,,,,,,,,,
1844,Closed End,Transportation,Q13B_21,Race / ethnicity,1,Header,Q14B_21,Q13B_18,Transportation,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
1845,Closed End,Transportation,Q13B_21,Race / ethnicity,2,Data,Q14B_21,Q13B_18,Transportation,   BIPOC,6%,30%,43%,21%,574,,,,,,,,,,,,,,
1846,Closed End,Transportation,Q13B_21,Race / ethnicity,3,Data,Q14B_21,Q13B_18,Transportation,      "American Indian, Native American, or Alaska Native",1%,23%,42%,34%,103,,,,,,,,,,,,,,
1847,Closed End,Transportation,Q13B_21,Race / ethnicity,4,Data,Q14B_21,Q13B_18,Transportation,      Asian American or Asian,8%,29%,45%,18%,148,,,,,,,,,,,,,,
1848,Closed End,Transportation,Q13B_21,Race / ethnicity,5,Data,Q14B_21,Q13B_18,Transportation,      "Black, African American, or African",6%,37%,34%,23%,280,,,,,,,,,,,,,,
1849,Closed End,Transportation,Q13B_21,Race / ethnicity,6,Data,Q14B_21,Q13B_18,Transportation,      Latino/a or Hispanic,1%,21%,55%,23%,90,,,,,,,,,,,,,,
1850,Closed End,Transportation,Q13B_21,Race / ethnicity,7,Data,Q14B_21,Q13B_18,Transportation,   White or Caucasian alone,9%,43%,32%,16%,1044,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Closed End,Transportation,Q14C_21,Title,1,Title,Q14C_21,,,14C. Please rate the crime-related safety of public transit in the East Metro.,,,,,,,,,,,,,,,,,,,
1853,Closed End,Transportation,Q14C_21,Column labels,1,Labels,Q14C_21,,,,Excellent,Good,Fair,Poor,Number of respondents (unweighted),,,,,,,,,,,,,,
1854,Closed End,Transportation,Q14C_21,Region,1,Header,Q14C_21,,,Results by region:,,,,,,,,,,,,,,,,,,,
1855,Closed End,Transportation,Q14C_21,Region,2,Data,Q14C_21,,,   East Metro overall,5%,35%,33%,28%,1741,,,,,,,,,,,,,,
1856,Closed End,Transportation,Q14C_21,Region,3,Data,Q14C_21,,,   Dakota County,7%,50%,25%,18%,139,,,,,,,,,,,,,,
1857,Closed End,Transportation,Q14C_21,Region,4,Data,Q14C_21,,,   Ramsey County (overall),4%,29%,34%,32%,1482,,,,,,,,,,,,,,
1858,Closed End,Transportation,Q14C_21,Region,5,Data,Q14C_21,,,      City of Saint Paul,4%,23%,38%,35%,1311,,,,,,,,,,,,,,
1859,Closed End,Transportation,Q14C_21,Region,6,Data,Q14C_21,,,      Suburban Ramsey County,5%,40%,28%,28%,171,,,,,,,,,,,,,,
1860,Closed End,Transportation,Q14C_21,Region,7,Data,Q14C_21,,,   Washington County,5%,35%,38%,22%,120,,,,,,,,,,,,,,
1861,Closed End,Transportation,Q14C_21,Gender,1,Header,Q14C_21,,,Results by gender:,,,,,,,,,,,,,,,,,,,
1862,Closed End,Transportation,Q14C_21,Gender,2,Data,Q14C_21,,,   Females,5%,35%,33%,27%,999,,,,,,,,,,,,,,
1863,Closed End,Transportation,Q14C_21,Gender,3,Data,Q14C_21,,,   Males,6%,33%,34%,27%,644,,,,,,,,,,,,,,
1864,Closed End,Transportation,Q14C_21,Age,1,Header,Q14C_21,,,Results by age:,,,,,,,,,,,,,,,,,,,
1865,Closed End,Transportation,Q14C_21,Age,2,Data,Q14C_21,,,   18-34,3%,31%,37%,29%,246,,,,,,,,,,,,,,
1866,Closed End,Transportation,Q14C_21,Age,3,Data,Q14C_21,,,   35-44,7%,43%,35%,16%,251,,,,,,,,,,,,,,
1867,Closed End,Transportation,Q14C_21,Age,4,Data,Q14C_21,,,   45-54,5%,29%,39%,27%,209,,,,,,,,,,,,,,
1868,Closed End,Transportation,Q14C_21,Age,5,Data,Q14C_21,,,   55-64,4%,38%,34%,24%,325,,,,,,,,,,,,,,
1869,Closed End,Transportation,Q14C_21,Age,6,Data,Q14C_21,,,   65+,5%,34%,30%,31%,427,,,,,,,,,,,,,,
1870,Closed End,Transportation,Q14C_21,Education,1,Header,Q14C_21,,,Results by education level:,,,,,,,,,,,,,,,,,,,
1871,Closed End,Transportation,Q14C_21,Education,2,Data,Q14C_21,,,   "Less than HS diploma, no GED",5%,37%,20%,37%,78,,,,,,,,,,,,,,
1872,Closed End,Transportation,Q14C_21,Education,3,Data,Q14C_21,,,   HS diploma or GED,2%,35%,29%,34%,233,,,,,,,,,,,,,,
1873,Closed End,Transportation,Q14C_21,Education,4,Data,Q14C_21,,,   "Some college, trade school, or Associate degree",5%,32%,35%,28%,567,,,,,,,,,,,,,,
1874,Closed End,Transportation,Q14C_21,Education,5,Data,Q14C_21,,,   Bachelor's degree or higher,7%,36%,35%,22%,796,,,,,,,,,,,,,,
1875,Closed End,Transportation,Q14C_21,Household income,1,Header,Q14C_21,,,Results by household income:,,,,,,,,,,,,,,,,,,,
1876,Closed End,Transportation,Q14C_21,Household income,2,Data,Q14C_21,,,   "Less than $20,000",7%,25%,35%,33%,370,,,,,,,,,,,,,,
1877,Closed End,Transportation,Q14C_21,Household income,3,Data,Q14C_21,,,   "$20,000 to $39,999",7%,28%,38%,27%,278,,,,,,,,,,,,,,
1878,Closed End,Transportation,Q14C_21,Household income,4,Data,Q14C_21,,,   "$40,000 to $59,999",3%,38%,27%,32%,231,,,,,,,,,,,,,,
1879,Closed End,Transportation,Q14C_21,Household income,5,Data,Q14C_21,,,   "$60,000 to $79,999",3%,31%,42%,25%,168,,,,,,,,,,,,,,
1880,Closed End,Transportation,Q14C_21,Household income,6,Data,Q14C_21,,,   "$80,000 to $99,999",8%,29%,40%,23%,132,,,,,,,,,,,,,,
1881,Closed End,Transportation,Q14C_21,Household income,7,Data,Q14C_21,,,   "$100,000 to $149,999",4%,37%,32%,28%,155,,,,,,,,,,,,,,
1882,Closed End,Transportation,Q14C_21,Household income,8,Data,Q14C_21,,,   "$150,000 or more",4%,47%,31%,18%,116,,,,,,,,,,,,,,
1883,Closed End,Transportation,Q14C_21,Housing status,1,Header,Q14C_21,,,Results by housing status:,,,,,,,,,,,,,,,,,,,
1884,Closed End,Transportation,Q14C_21,Housing status,2,Data,Q14C_21,,,   Owner,5%,37%,32%,25%,956,,,,,,,,,,,,,,
1885,Closed End,Transportation,Q14C_21,Housing status,3,Data,Q14C_21,,,   Renter,5%,31%,32%,32%,727,,,,,,,,,,,,,,
1886,Closed End,Transportation,Q14C_21,Housing status,4,Data,Q14C_21,,,   "Lives with family or friends, homeless, or some other arrangement",8%,16%,39%,38%,48,,,,,,,,,,,,,,
1887,Closed End,Transportation,Q14C_21,Home language,1,Header,Q14C_21,,,Results by home language:,,,,,,,,,,,,,,,,,,,
1888,Closed End,Transportation,Q14C_21,Home language,2,Data,Q14C_21,,,   English only,5%,36%,33%,26%,1431,,,,,,,,,,,,,,
1889,Closed End,Transportation,Q14C_21,Home language,3,Data,Q14C_21,,,   English plus another language,2%,29%,36%,33%,173,,,,,,,,,,,,,,
1890,Closed End,Transportation,Q14C_21,Home language,4,Data,Q14C_21,,,   Another language only,15%,31%,32%,23%,76,,,,,,,,,,,,,,
1891,Closed End,Transportation,Q14C_21,Race / ethnicity,1,Header,Q14C_21,,,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
1892,Closed End,Transportation,Q14C_21,Race / ethnicity,2,Data,Q14C_21,,,   BIPOC,7%,30%,35%,29%,576,,,,,,,,,,,,,,
1893,Closed End,Transportation,Q14C_21,Race / ethnicity,3,Data,Q14C_21,,,      "American Indian, Native American, or Alaska Native",1%,40%,27%,32%,102,,,,,,,,,,,,,,
1894,Closed End,Transportation,Q14C_21,Race / ethnicity,4,Data,Q14C_21,,,      Asian American or Asian,9%,30%,39%,22%,151,,,,,,,,,,,,,,
1895,Closed End,Transportation,Q14C_21,Race / ethnicity,5,Data,Q14C_21,,,      "Black, African American, or African",9%,37%,28%,27%,277,,,,,,,,,,,,,,
1896,Closed End,Transportation,Q14C_21,Race / ethnicity,6,Data,Q14C_21,,,      Latino/a or Hispanic,2%,17%,37%,43%,92,,,,,,,,,,,,,,
1897,Closed End,Transportation,Q14C_21,Race / ethnicity,7,Data,Q14C_21,,,   White or Caucasian alone,5%,38%,33%,25%,1025,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Closed End,Transportation,Q14D_21,Title,1,Title,Q14D_21,,,14D. Please rate the health-related safety of public transit in the East Metro.,,,,,,,,,,,,,,,,,,,
1900,Closed End,Transportation,Q14D_21,Column labels,1,Labels,Q14D_21,,,,Excellent,Good,Fair,Poor,Number of respondents (unweighted),,,,,,,,,,,,,,
1901,Closed End,Transportation,Q14D_21,Region,1,Header,Q14D_21,,,Results by region:,,,,,,,,,,,,,,,,,,,
1902,Closed End,Transportation,Q14D_21,Region,2,Data,Q14D_21,,,   East Metro overall,6%,44%,30%,20%,1612,,,,,,,,,,,,,,
1903,Closed End,Transportation,Q14D_21,Region,3,Data,Q14D_21,,,   Dakota County,6%,68%,15%,10%,129,,,,,,,,,,,,,,
1904,Closed End,Transportation,Q14D_21,Region,4,Data,Q14D_21,,,   Ramsey County (overall),7%,37%,35%,21%,1371,,,,,,,,,,,,,,
1905,Closed End,Transportation,Q14D_21,Region,5,Data,Q14D_21,,,      City of Saint Paul,7%,34%,38%,21%,1211,,,,,,,,,,,,,,
1906,Closed End,Transportation,Q14D_21,Region,6,Data,Q14D_21,,,      Suburban Ramsey County,7%,42%,28%,22%,160,,,,,,,,,,,,,,
1907,Closed End,Transportation,Q14D_21,Region,7,Data,Q14D_21,,,   Washington County,5%,41%,29%,25%,112,,,,,,,,,,,,,,
1908,Closed End,Transportation,Q14D_21,Gender,1,Header,Q14D_21,,,Results by gender:,,,,,,,,,,,,,,,,,,,
1909,Closed End,Transportation,Q14D_21,Gender,2,Data,Q14D_21,,,   Females,6%,43%,31%,20%,924,,,,,,,,,,,,,,
1910,Closed End,Transportation,Q14D_21,Gender,3,Data,Q14D_21,,,   Males,7%,46%,30%,18%,602,,,,,,,,,,,,,,
1911,Closed End,Transportation,Q14D_21,Age,1,Header,Q14D_21,,,Results by age:,,,,,,,,,,,,,,,,,,,
1912,Closed End,Transportation,Q14D_21,Age,2,Data,Q14D_21,,,   18-34,4%,39%,34%,23%,229,,,,,,,,,,,,,,
1913,Closed End,Transportation,Q14D_21,Age,3,Data,Q14D_21,,,   35-44,5%,57%,26%,11%,238,,,,,,,,,,,,,,
1914,Closed End,Transportation,Q14D_21,Age,4,Data,Q14D_21,,,   45-54,8%,32%,40%,20%,194,,,,,,,,,,,,,,
1915,Closed End,Transportation,Q14D_21,Age,5,Data,Q14D_21,,,   55-64,6%,49%,27%,18%,304,,,,,,,,,,,,,,
1916,Closed End,Transportation,Q14D_21,Age,6,Data,Q14D_21,,,   65+,7%,47%,30%,16%,385,,,,,,,,,,,,,,
1917,Closed End,Transportation,Q14D_21,Education,1,Header,Q14D_21,,,Results by education level:,,,,,,,,,,,,,,,,,,,
1918,Closed End,Transportation,Q14D_21,Education,2,Data,Q14D_21,,,   "Less than HS diploma, no GED",6%,51%,19%,24%,77,,,,,,,,,,,,,,
1919,Closed End,Transportation,Q14D_21,Education,3,Data,Q14D_21,,,   HS diploma or GED,8%,41%,30%,21%,217,,,,,,,,,,,,,,
1920,Closed End,Transportation,Q14D_21,Education,4,Data,Q14D_21,,,   "Some college, trade school, or Associate degree",5%,40%,33%,22%,518,,,,,,,,,,,,,,
1921,Closed End,Transportation,Q14D_21,Education,5,Data,Q14D_21,,,   Bachelor's degree or higher,7%,48%,29%,16%,744,,,,,,,,,,,,,,
1922,Closed End,Transportation,Q14D_21,Household income,1,Header,Q14D_21,,,Results by household income:,,,,,,,,,,,,,,,,,,,
1923,Closed End,Transportation,Q14D_21,Household income,2,Data,Q14D_21,,,   "Less than $20,000",8%,35%,31%,26%,357,,,,,,,,,,,,,,
1924,Closed End,Transportation,Q14D_21,Household income,3,Data,Q14D_21,,,   "$20,000 to $39,999",10%,29%,39%,22%,247,,,,,,,,,,,,,,
1925,Closed End,Transportation,Q14D_21,Household income,4,Data,Q14D_21,,,   "$40,000 to $59,999",5%,50%,28%,16%,216,,,,,,,,,,,,,,
1926,Closed End,Transportation,Q14D_21,Household income,5,Data,Q14D_21,,,   "$60,000 to $79,999",2%,50%,30%,18%,159,,,,,,,,,,,,,,
1927,Closed End,Transportation,Q14D_21,Household income,6,Data,Q14D_21,,,   "$80,000 to $99,999",7%,35%,30%,28%,124,,,,,,,,,,,,,,
1928,Closed End,Transportation,Q14D_21,Household income,7,Data,Q14D_21,,,   "$100,000 to $149,999",5%,51%,31%,13%,138,,,,,,,,,,,,,,
1929,Closed End,Transportation,Q14D_21,Household income,8,Data,Q14D_21,,,   "$150,000 or more",6%,58%,23%,13%,107,,,,,,,,,,,,,,
1930,Closed End,Transportation,Q14D_21,Housing status,1,Header,Q14D_21,,,Results by housing status:,,,,,,,,,,,,,,,,,,,
1931,Closed End,Transportation,Q14D_21,Housing status,2,Data,Q14D_21,,,   Owner,5%,49%,28%,18%,865,,,,,,,,,,,,,,
1932,Closed End,Transportation,Q14D_21,Housing status,3,Data,Q14D_21,,,   Renter,8%,38%,32%,22%,693,,,,,,,,,,,,,,
1933,Closed End,Transportation,Q14D_21,Housing status,4,Data,Q14D_21,,,   "Lives with family or friends, homeless, or some other arrangement",5%,21%,36%,38%,44,,,,,,,,,,,,,,
1934,Closed End,Transportation,Q14D_21,Home language,1,Header,Q14D_21,,,Results by home language:,,,,,,,,,,,,,,,,,,,
1935,Closed End,Transportation,Q14D_21,Home language,2,Data,Q14D_21,,,   English only,7%,45%,31%,18%,1314,,,,,,,,,,,,,,
1936,Closed End,Transportation,Q14D_21,Home language,3,Data,Q14D_21,,,   English plus another language,2%,42%,28%,28%,167,,,,,,,,,,,,,,
1937,Closed End,Transportation,Q14D_21,Home language,4,Data,Q14D_21,,,   Another language only,12%,35%,36%,17%,75,,,,,,,,,,,,,,
1938,Closed End,Transportation,Q14D_21,Race / ethnicity,1,Header,Q14D_21,,,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
1939,Closed End,Transportation,Q14D_21,Race / ethnicity,2,Data,Q14D_21,,,   BIPOC,6%,38%,35%,21%,549,,,,,,,,,,,,,,
1940,Closed End,Transportation,Q14D_21,Race / ethnicity,3,Data,Q14D_21,,,      "American Indian, Native American, or Alaska Native",1%,41%,27%,31%,93,,,,,,,,,,,,,,
1941,Closed End,Transportation,Q14D_21,Race / ethnicity,4,Data,Q14D_21,,,      Asian American or Asian,5%,33%,39%,22%,147,,,,,,,,,,,,,,
1942,Closed End,Transportation,Q14D_21,Race / ethnicity,5,Data,Q14D_21,,,      "Black, African American, or African",10%,40%,31%,19%,268,,,,,,,,,,,,,,
1943,Closed End,Transportation,Q14D_21,Race / ethnicity,6,Data,Q14D_21,,,      Latino/a or Hispanic,3%,43%,30%,24%,84,,,,,,,,,,,,,,
1944,Closed End,Transportation,Q14D_21,Race / ethnicity,7,Data,Q14D_21,,,   White or Caucasian alone,7%,48%,29%,16%,938,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,Closed End,Transportation,Q13D_21,Title,1,Title,Q14E_21,Q13D_18,Transportation,14E. Please rate the cost to use public transit in the East Metro.,,,,,,,,,,,,,,,,,,,
1947,Closed End,Transportation,Q13D_21,Column labels,1,Labels,Q14E_21,Q13D_18,Transportation,,Excellent,Good,Fair,Poor,Number of respondents (unweighted),,,,,,,,,,,,,,
1948,Closed End,Transportation,Q13D_21,Region,1,Header,Q14E_21,Q13D_18,Transportation,Results by region:,,,,,,,,,,,,,,,,,,,
1949,Closed End,Transportation,Q13D_21,Region,2,Data,Q14E_21,Q13D_18,Transportation,   East Metro overall,11%,48%,31%,10%,1748,,,,,,,,,,,,,,
1950,Closed End,Transportation,Q13D_21,Region,3,Data,Q14E_21,Q13D_18,Transportation,   Dakota County,8%,58%,24%,11%,149,,,,,,,,,,,,,,
1951,Closed End,Transportation,Q13D_21,Region,4,Data,Q14E_21,Q13D_18,Transportation,   Ramsey County (overall),13%,43%,33%,11%,1473,,,,,,,,,,,,,,
1952,Closed End,Transportation,Q13D_21,Region,5,Data,Q14E_21,Q13D_18,Transportation,      City of Saint Paul,14%,41%,36%,9%,1301,,,,,,,,,,,,,,
1953,Closed End,Transportation,Q13D_21,Region,6,Data,Q14E_21,Q13D_18,Transportation,      Suburban Ramsey County,11%,47%,28%,14%,172,,,,,,,,,,,,,,
1954,Closed End,Transportation,Q13D_21,Region,7,Data,Q14E_21,Q13D_18,Transportation,   Washington County,6%,55%,31%,8%,126,,,,,,,,,,,,,,
1955,Closed End,Transportation,Q13D_21,Gender,1,Header,Q14E_21,Q13D_18,Transportation,Results by gender:,,,,,,,,,,,,,,,,,,,
1956,Closed End,Transportation,Q13D_21,Gender,2,Data,Q14E_21,Q13D_18,Transportation,   Females,11%,48%,34%,7%,1034,,,,,,,,,,,,,,
1957,Closed End,Transportation,Q13D_21,Gender,3,Data,Q14E_21,Q13D_18,Transportation,   Males,11%,48%,29%,11%,622,,,,,,,,,,,,,,
1958,Closed End,Transportation,Q13D_21,Age,1,Header,Q14E_21,Q13D_18,Transportation,Results by age:,,,,,,,,,,,,,,,,,,,
1959,Closed End,Transportation,Q13D_21,Age,2,Data,Q14E_21,Q13D_18,Transportation,   18-34,13%,36%,38%,14%,257,,,,,,,,,,,,,,
1960,Closed End,Transportation,Q13D_21,Age,3,Data,Q14E_21,Q13D_18,Transportation,   35-44,9%,62%,25%,4%,267,,,,,,,,,,,,,,
1961,Closed End,Transportation,Q13D_21,Age,4,Data,Q14E_21,Q13D_18,Transportation,   45-54,10%,49%,33%,7%,218,,,,,,,,,,,,,,
1962,Closed End,Transportation,Q13D_21,Age,5,Data,Q14E_21,Q13D_18,Transportation,   55-64,12%,54%,26%,8%,317,,,,,,,,,,,,,,
1963,Closed End,Transportation,Q13D_21,Age,6,Data,Q14E_21,Q13D_18,Transportation,   65+,15%,49%,28%,9%,417,,,,,,,,,,,,,,
1964,Closed End,Transportation,Q13D_21,Education,1,Header,Q14E_21,Q13D_18,Transportation,Results by education level:,,,,,,,,,,,,,,,,,,,
1965,Closed End,Transportation,Q13D_21,Education,2,Data,Q14E_21,Q13D_18,Transportation,   "Less than HS diploma, no GED",27%,46%,23%,4%,73,,,,,,,,,,,,,,
1966,Closed End,Transportation,Q13D_21,Education,3,Data,Q14E_21,Q13D_18,Transportation,   HS diploma or GED,7%,44%,31%,17%,218,,,,,,,,,,,,,,
1967,Closed End,Transportation,Q13D_21,Education,4,Data,Q14E_21,Q13D_18,Transportation,   "Some college, trade school, or Associate degree",9%,49%,35%,7%,539,,,,,,,,,,,,,,
1968,Closed End,Transportation,Q13D_21,Education,5,Data,Q14E_21,Q13D_18,Transportation,   Bachelor's degree or higher,13%,51%,30%,7%,859,,,,,,,,,,,,,,
1969,Closed End,Transportation,Q13D_21,Household income,1,Header,Q14E_21,Q13D_18,Transportation,Results by household income:,,,,,,,,,,,,,,,,,,,
1970,Closed End,Transportation,Q13D_21,Household income,2,Data,Q14E_21,Q13D_18,Transportation,   "Less than $20,000",9%,43%,34%,13%,370,,,,,,,,,,,,,,
1971,Closed End,Transportation,Q13D_21,Household income,3,Data,Q14E_21,Q13D_18,Transportation,   "$20,000 to $39,999",9%,48%,36%,7%,274,,,,,,,,,,,,,,
1972,Closed End,Transportation,Q13D_21,Household income,4,Data,Q14E_21,Q13D_18,Transportation,   "$40,000 to $59,999",17%,42%,27%,14%,230,,,,,,,,,,,,,,
1973,Closed End,Transportation,Q13D_21,Household income,5,Data,Q14E_21,Q13D_18,Transportation,   "$60,000 to $79,999",7%,56%,28%,8%,164,,,,,,,,,,,,,,
1974,Closed End,Transportation,Q13D_21,Household income,6,Data,Q14E_21,Q13D_18,Transportation,   "$80,000 to $99,999",11%,44%,41%,4%,136,,,,,,,,,,,,,,
1975,Closed End,Transportation,Q13D_21,Household income,7,Data,Q14E_21,Q13D_18,Transportation,   "$100,000 to $149,999",9%,49%,33%,10%,169,,,,,,,,,,,,,,
1976,Closed End,Transportation,Q13D_21,Household income,8,Data,Q14E_21,Q13D_18,Transportation,   "$150,000 or more",16%,55%,24%,5%,130,,,,,,,,,,,,,,
1977,Closed End,Transportation,Q13D_21,Housing status,1,Header,Q14E_21,Q13D_18,Transportation,Results by housing status:,,,,,,,,,,,,,,,,,,,
1978,Closed End,Transportation,Q13D_21,Housing status,2,Data,Q14E_21,Q13D_18,Transportation,   Owner,9%,51%,29%,10%,951,,,,,,,,,,,,,,
1979,Closed End,Transportation,Q13D_21,Housing status,3,Data,Q14E_21,Q13D_18,Transportation,   Renter,13%,45%,31%,11%,738,,,,,,,,,,,,,,
1980,Closed End,Transportation,Q13D_21,Housing status,4,Data,Q14E_21,Q13D_18,Transportation,   "Lives with family or friends, homeless, or some other arrangement",17%,12%,63%,8%,48,,,,,,,,,,,,,,
1981,Closed End,Transportation,Q13D_21,Home language,1,Header,Q14E_21,Q13D_18,Transportation,Results by home language:,,,,,,,,,,,,,,,,,,,
1982,Closed End,Transportation,Q13D_21,Home language,2,Data,Q14E_21,Q13D_18,Transportation,   English only,11%,48%,30%,11%,1436,,,,,,,,,,,,,,
