OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
1077,Closed End,Education,Q8G_18,Gender,1,Header,Results by gender:,--,--,--,--,,,,,,,,,,,,,,,
1078,Closed End,Education,Q8G_18,Gender,2,Data,   Females,43%,27%,16%,13%,278,,,,,,,,,,,,,,
1079,Closed End,Education,Q8G_18,Gender,3,Data,   Males,45%,32%,13%,10%,163,,,,,,,,,,,,,,
1080,Closed End,Education,Q8G_18,Age,1,Header,Results by age:,--,--,--,--,,,,,,,,,,,,,,,
1081,Closed End,Education,Q8G_18,Age,2,Data,   18-34,41%,36%,12%,11%,78,,,,,,,,,,,,,,
1082,Closed End,Education,Q8G_18,Age,3,Data,   35-44,31%,33%,17%,20%,67,,,,,,,,,,,,,,
1083,Closed End,Education,Q8G_18,Age,4,Data,   45-54,56%,28%,8%,8%,103,,,,,,,,,,,,,,
1084,Closed End,Education,Q8G_18,Age,5,Data,   55-64,48%,18%,22%,12%,112,,,,,,,,,,,,,,
1085,Closed End,Education,Q8G_18,Age,6,Data,   65+,47%,26%,20%,8%,73,,,,,,,,,,,,,,
1086,Closed End,Education,Q8G_18,Education,1,Header,Results by education level:,--,--,--,--,,,,,,,,,,,,,,,
1087,Closed End,Education,Q8G_18,Education,2,Data,   "Less than HS diploma, no GED",--,--,--,--,5,,,,,,,,,,,,,,
1088,Closed End,Education,Q8G_18,Education,3,Data,   HS diploma or GED,48%,29%,8%,16%,46,,,,,,,,,,,,,,
1089,Closed End,Education,Q8G_18,Education,4,Data,   "Some college, trade school, or Associate degree",31%,38%,20%,10%,139,,,,,,,,,,,,,,
1090,Closed End,Education,Q8G_18,Education,5,Data,   Bachelor's degree or higher,58%,20%,16%,5%,250,,,,,,,,,,,,,,
1091,Closed End,Education,Q8G_18,Household income,1,Header,Results by household income:,--,--,--,--,,,,,,,,,,,,,,,
1092,Closed End,Education,Q8G_18,Household income,2,Data,   "Less than $20,000",36%,31%,3%,30%,39,,,,,,,,,,,,,,
1093,Closed End,Education,Q8G_18,Household income,3,Data,   "$20,000 to $39,999",31%,36%,21%,13%,66,,,,,,,,,,,,,,
1094,Closed End,Education,Q8G_18,Household income,4,Data,   "$40,000 to $59,999",25%,32%,20%,23%,62,,,,,,,,,,,,,,
1095,Closed End,Education,Q8G_18,Household income,5,Data,   "$60,000 to $79,999",40%,45%,15%,<.5%,59,,,,,,,,,,,,,,
1096,Closed End,Education,Q8G_18,Household income,6,Data,   "$80,000 to $99,999",51%,26%,16%,7%,46,,,,,,,,,,,,,,
1097,Closed End,Education,Q8G_18,Household income,7,Data,   "$100,000 to $149,999",64%,17%,14%,4%,76,,,,,,,,,,,,,,
1098,Closed End,Education,Q8G_18,Household income,8,Data,   "$150,000 or more",67%,21%,6%,7%,49,,,,,,,,,,,,,,
1099,Closed End,Education,Q8G_18,Housing status,1,Header,Results by housing status:,--,--,--,--,,,,,,,,,,,,,,,
1100,Closed End,Education,Q8G_18,Housing status,2,Data,   Owner,54%,27%,13%,6%,333,,,,,,,,,,,,,,
1101,Closed End,Education,Q8G_18,Housing status,3,Data,   Renter,30%,30%,17%,23%,110,,,,,,,,,,,,,,
1102,Closed End,Education,Q8G_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",--,--,--,--,11,,,,,,,,,,,,,,
1103,Closed End,Education,Q8G_18,Home language,1,Header,Results by home language:,--,--,--,--,,,,,,,,,,,,,,,
1104,Closed End,Education,Q8G_18,Home language,2,Data,   English only,46%,29%,16%,10%,388,,,,,,,,,,,,,,
1105,Closed End,Education,Q8G_18,Home language,3,Data,   Engish plus another language,52%,31%,6%,12%,42,,,,,,,,,,,,,,
1106,Closed End,Education,Q8G_18,Home language,4,Data,   Another language only,--,--,--,--,17,,,,,,,,,,,,,,
1107,Closed End,Education,Q8G_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,,,,,,,,,,,,,,,
1108,Closed End,Education,Q8G_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",--,--,--,--,9,,,,,,,,,,,,,,
1109,Closed End,Education,Q8G_18,Race / ethnicity,3,Data,   Asian American or Asian,35%,27%,11%,27%,34,,,,,,,,,,,,,,
1110,Closed End,Education,Q8G_18,Race / ethnicity,4,Data,   "Black, African American, or African",41%,5%,14%,40%,26,,,,,,,,,,,,,,
1111,Closed End,Education,Q8G_18,Race / ethnicity,5,Data,   Hispanic or Latinx,--,--,--,--,18,,,,,,,,,,,,,,
1112,Closed End,Education,Q8G_18,Race / ethnicity,6,Data,   White or Caucasian,50%,30%,14%,6%,366,,,,,,,,,,,,,,
1113,,Education,,,,,,,,,,,,,,,,,,,,,,,,
1114,Closed End,Education,Q9_18,Title,1,Title,Q9. Do you have children age 18 or younger who live in your household?,,,,,,,,,,,,,,,,,,,
1115,Closed End,Education,Q9_18,Title,2,Labels,,Yes,No,Number of respondents (unweighted),,,,,,,,,,,,,,,,
1116,Closed End,Education,Q9_18,Region,1,Header,Results by region:,--,--,,,,,,,,,,,,,,,,,
1117,Closed End,Education,Q9_18,Region,2,Data,   East Metro overall,36%,64%,1910,,,,,,,,,,,,,,,,
1118,Closed End,Education,Q9_18,Region,3,Data,   Dakota County,36%,64%,435,,,,,,,,,,,,,,,,
1119,Closed End,Education,Q9_18,Region,4,Data,   Ramsey County (overall),37%,63%,956,,,,,,,,,,,,,,,,
1120,Closed End,Education,Q9_18,Region,5,Data,      City of Saint Paul,40%,60%,460,,,,,,,,,,,,,,,,
1121,Closed End,Education,Q9_18,Region,6,Data,      Suburban Ramsey County,33%,67%,496,,,,,,,,,,,,,,,,
1122,Closed End,Education,Q9_18,Region,7,Data,   Washington County,35%,65%,519,,,,,,,,,,,,,,,,
1123,Closed End,Education,Q9_18,Gender,1,Header,Results by gender:,--,--,,,,,,,,,,,,,,,,,
1124,Closed End,Education,Q9_18,Gender,2,Data,   Females,41%,59%,1239,,,,,,,,,,,,,,,,
1125,Closed End,Education,Q9_18,Gender,3,Data,   Males,32%,68%,623,,,,,,,,,,,,,,,,
1126,Closed End,Education,Q9_18,Age,1,Header,Results by age:,--,--,,,,,,,,,,,,,,,,,
1127,Closed End,Education,Q9_18,Age,2,Data,   18-34,40%,60%,281,,,,,,,,,,,,,,,,
1128,Closed End,Education,Q9_18,Age,3,Data,   35-44,73%,27%,272,,,,,,,,,,,,,,,,
1129,Closed End,Education,Q9_18,Age,4,Data,   45-54,48%,52%,297,,,,,,,,,,,,,,,,
1130,Closed End,Education,Q9_18,Age,5,Data,   55-64,12%,88%,421,,,,,,,,,,,,,,,,
1131,Closed End,Education,Q9_18,Age,6,Data,   65+,5%,95%,565,,,,,,,,,,,,,,,,
1132,Closed End,Education,Q9_18,Education,1,Header,Results by education level:,--,--,,,,,,,,,,,,,,,,,
1133,Closed End,Education,Q9_18,Education,2,Data,   "Less than HS diploma, no GED",64%,36%,21,,,,,,,,,,,,,,,,
1134,Closed End,Education,Q9_18,Education,3,Data,   HS diploma or GED,31%,69%,198,,,,,,,,,,,,,,,,
1135,Closed End,Education,Q9_18,Education,4,Data,   "Some college, trade school, or Associate degree",32%,68%,549,,,,,,,,,,,,,,,,
1136,Closed End,Education,Q9_18,Education,5,Data,   Bachelor's degree or higher,42%,58%,1094,,,,,,,,,,,,,,,,
1137,Closed End,Education,Q9_18,Household income,1,Header,Results by household income:,--,--,,,,,,,,,,,,,,,,,
1138,Closed End,Education,Q9_18,Household income,2,Data,   "Less than $20,000",26%,74%,134,,,,,,,,,,,,,,,,
1139,Closed End,Education,Q9_18,Household income,3,Data,   "$20,000 to $39,999",30%,70%,234,,,,,,,,,,,,,,,,
1140,Closed End,Education,Q9_18,Household income,4,Data,   "$40,000 to $59,999",41%,59%,246,,,,,,,,,,,,,,,,
1141,Closed End,Education,Q9_18,Household income,5,Data,   "$60,000 to $79,999",27%,73%,237,,,,,,,,,,,,,,,,
1142,Closed End,Education,Q9_18,Household income,6,Data,   "$80,000 to $99,999",43%,57%,212,,,,,,,,,,,,,,,,
1143,Closed End,Education,Q9_18,Household income,7,Data,   "$100,000 to $149,999",46%,54%,309,,,,,,,,,,,,,,,,
1144,Closed End,Education,Q9_18,Household income,8,Data,   "$150,000 or more",53%,47%,231,,,,,,,,,,,,,,,,
1145,Closed End,Education,Q9_18,Housing status,1,Header,Results by housing status:,--,--,,,,,,,,,,,,,,,,,
1146,Closed End,Education,Q9_18,Housing status,2,Data,   Owner,37%,63%,1484,,,,,,,,,,,,,,,,
1147,Closed End,Education,Q9_18,Housing status,3,Data,   Renter,32%,68%,393,,,,,,,,,,,,,,,,
1148,Closed End,Education,Q9_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",41%,59%,29,,,,,,,,,,,,,,,,
1149,Closed End,Education,Q9_18,Home language,1,Header,Results by home language:,--,--,,,,,,,,,,,,,,,,,
1150,Closed End,Education,Q9_18,Home language,2,Data,   English only,31%,69%,1752,,,,,,,,,,,,,,,,
1151,Closed End,Education,Q9_18,Home language,3,Data,   Engish plus another language,68%,32%,96,,,,,,,,,,,,,,,,
1152,Closed End,Education,Q9_18,Home language,4,Data,   Another language only,66%,34%,34,,,,,,,,,,,,,,,,
1153,Closed End,Education,Q9_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,,,,,,,,,,,,,,,,,
1154,Closed End,Education,Q9_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",53%,47%,30,,,,,,,,,,,,,,,,
1155,Closed End,Education,Q9_18,Race / ethnicity,3,Data,   Asian American or Asian,62%,38%,77,,,,,,,,,,,,,,,,
1156,Closed End,Education,Q9_18,Race / ethnicity,4,Data,   "Black, African American, or African",50%,50%,66,,,,,,,,,,,,,,,,
1157,Closed End,Education,Q9_18,Race / ethnicity,5,Data,   Hispanic or Latinx,65%,35%,41,,,,,,,,,,,,,,,,
1158,Closed End,Education,Q9_18,Race / ethnicity,6,Data,   White or Caucasian,31%,69%,1670,,,,,,,,,,,,,,,,
1159,,Education,,,,,,,,,,,,,,,,,,,,,,,,
1160,Closed End,Education,Q10A_18,Title,1,Title,Q10A. Do any of the children who live in your household attend any of the following public (not charter) schools in your neighborhood? (Check all that apply),,,,,,,,,,,,,,,,,,,
1161,Closed End,Education,Q10A_18,Title,2,Labels,,Grade K-6,Grade 7-8,Grade 9-12,No, none of these,Number of respondents (unweighted),,,,,,,,,,,,,,
1162,Closed End,Education,Q10A_18,Region,1,Header,Results by region:,--,--,--,--,,,,,,,,,,,,,,,
1163,Closed End,Education,Q10A_18,Region,2,Data,   East Metro overall,44%,21%,30%,27%,377,,,,,,,,,,,,,,
1164,Closed End,Education,Q10A_18,Region,3,Data,   Dakota County,57%,21%,35%,13%,94,,,,,,,,,,,,,,
1165,Closed End,Education,Q10A_18,Region,4,Data,   Ramsey County (overall),37%,19%,21%,39%,178,,,,,,,,,,,,,,
1166,Closed End,Education,Q10A_18,Region,5,Data,      City of Saint Paul,31%,18%,18%,45%,89,,,,,,,,,,,,,,
1167,Closed End,Education,Q10A_18,Region,6,Data,      Suburban Ramsey County,46%,23%,25%,30%,89,,,,,,,,,,,,,,
1168,Closed End,Education,Q10A_18,Region,7,Data,   Washington County,34%,26%,41%,28%,105,,,,,,,,,,,,,,
1169,Closed End,Education,Q10A_18,Gender,1,Header,Results by gender:,--,--,--,--,,,,,,,,,,,,,,,
1170,Closed End,Education,Q10A_18,Gender,2,Data,   Females,43%,25%,31%,27%,279,,,,,,,,,,,,,,
1171,Closed End,Education,Q10A_18,Gender,3,Data,   Males,46%,15%,28%,27%,94,,,,,,,,,,,,,,
1172,Closed End,Education,Q10A_18,Age,1,Header,Results by age:,--,--,--,--,,,,,,,,,,,,,,,
1173,Closed End,Education,Q10A_18,Age,2,Data,   18-34,55%,18%,14%,30%,48,,,,,,,,,,,,,,
1174,Closed End,Education,Q10A_18,Age,3,Data,   35-44,49%,23%,27%,28%,156,,,,,,,,,,,,,,
1175,Closed End,Education,Q10A_18,Age,4,Data,   45-54,32%,20%,41%,25%,125,,,,,,,,,,,,,,
1176,Closed End,Education,Q10A_18,Age,5,Data,   55-64,19%,29%,55%,32%,30,,,,,,,,,,,,,,
1177,Closed End,Education,Q10A_18,Age,6,Data,   65+,--,--,--,--,9,,,,,,,,,,,,,,
1178,Closed End,Education,Q10A_18,Education,1,Header,Results by education level:,--,--,--,--,,,,,,,,,,,,,,,
1179,Closed End,Education,Q10A_18,Education,2,Data,   "Less than HS diploma, no GED",--,--,--,--,6,,,,,,,,,,,,,,
1180,Closed End,Education,Q10A_18,Education,3,Data,   HS diploma or GED,51%,23%,16%,31%,25,,,,,,,,,,,,,,
1181,Closed End,Education,Q10A_18,Education,4,Data,   "Some college, trade school, or Associate degree",38%,22%,32%,28%,91,,,,,,,,,,,,,,
1182,Closed End,Education,Q10A_18,Education,5,Data,   Bachelor's degree or higher,44%,18%,29%,28%,252,,,,,,,,,,,,,,
1183,Closed End,Education,Q10A_18,Household income,1,Header,Results by household income:,--,--,--,--,,,,,,,,,,,,,,,
1184,Closed End,Education,Q10A_18,Household income,2,Data,   "Less than $20,000",--,--,--,--,14,,,,,,,,,,,,,,
1185,Closed End,Education,Q10A_18,Household income,3,Data,   "$20,000 to $39,999",24%,32%,37%,26%,35,,,,,,,,,,,,,,
1186,Closed End,Education,Q10A_18,Household income,4,Data,   "$40,000 to $59,999",47%,21%,34%,28%,41,,,,,,,,,,,,,,
1187,Closed End,Education,Q10A_18,Household income,5,Data,   "$60,000 to $79,999",31%,26%,25%,44%,39,,,,,,,,,,,,,,
1188,Closed End,Education,Q10A_18,Household income,6,Data,   "$80,000 to $99,999",55%,29%,23%,17%,44,,,,,,,,,,,,,,
1189,Closed End,Education,Q10A_18,Household income,7,Data,   "$100,000 to $149,999",50%,18%,28%,23%,86,,,,,,,,,,,,,,
1190,Closed End,Education,Q10A_18,Household income,8,Data,   "$150,000 or more",38%,11%,36%,27%,72,,,,,,,,,,,,,,
1191,Closed End,Education,Q10A_18,Housing status,1,Header,Results by housing status:,--,--,--,--,,,,,,,,,,,,,,,
1192,Closed End,Education,Q10A_18,Housing status,2,Data,   Owner,43%,20%,31%,28%,309,,,,,,,,,,,,,,
1193,Closed End,Education,Q10A_18,Housing status,3,Data,   Renter,45%,19%,22%,27%,62,,,,,,,,,,,,,,
1194,Closed End,Education,Q10A_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",--,--,--,--,6,,,,,,,,,,,,,,
1195,Closed End,Education,Q10A_18,Home language,1,Header,Results by home language:,--,--,--,--,,,,,,,,,,,,,,,
1196,Closed End,Education,Q10A_18,Home language,2,Data,   English only,38%,22%,31%,31%,313,,,,,,,,,,,,,,
1197,Closed End,Education,Q10A_18,Home language,3,Data,   Engish plus another language,76%,23%,20%,15%,41,,,,,,,,,,,,,,
1198,Closed End,Education,Q10A_18,Home language,4,Data,   Another language only,--,--,--,--,16,,,,,,,,,,,,,,
1199,Closed End,Education,Q10A_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,,,,,,,,,,,,,,,
1200,Closed End,Education,Q10A_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",--,--,--,--,10,,,,,,,,,,,,,,
1201,Closed End,Education,Q10A_18,Race / ethnicity,3,Data,   Asian American or Asian,55%,9%,30%,17%,32,,,,,,,,,,,,,,
1202,Closed End,Education,Q10A_18,Race / ethnicity,4,Data,   "Black, African American, or African",37%,25%,28%,37%,21,,,,,,,,,,,,,,
1203,Closed End,Education,Q10A_18,Race / ethnicity,5,Data,   Hispanic or Latinx,--,--,--,--,19,,,,,,,,,,,,,,
1204,Closed End,Education,Q10A_18,Race / ethnicity,6,Data,   White or Caucasian,38%,21%,32%,29%,299,,,,,,,,,,,,,,
1205,,Education,,,,,,,,,,,,,,,,,,,,,,,,
1206,Closed End,Education,Q10B_18,Title,1,Title,Q10B. Do any of the children who live in your household attend any of the following public (not charter) schools NOT in your neighborhood? (Check all that apply),,,,,,,,,,,,,,,,,,,
1207,Closed End,Education,Q10B_18,Title,2,Labels,,Grade K-6,Grade 7-8,Grade 9-12,No, none of these,Number of respondents (unweighted),,,,,,,,,,,,,,
1208,Closed End,Education,Q10B_18,Region,1,Header,Results by region:,--,--,--,--,,,,,,,,,,,,,,,
1209,Closed End,Education,Q10B_18,Region,2,Data,   East Metro overall,12%,3%,7%,79%,377,,,,,,,,,,,,,,
1210,Closed End,Education,Q10B_18,Region,3,Data,   Dakota County,9%,--,6%,85%,94,,,,,,,,,,,,,,
1211,Closed End,Education,Q10B_18,Region,4,Data,   Ramsey County (overall),15%,4%,7%,74%,178,,,,,,,,,,,,,,
1212,Closed End,Education,Q10B_18,Region,5,Data,      City of Saint Paul,14%,5%,8%,73%,89,,,,,,,,,,,,,,
1213,Closed End,Education,Q10B_18,Region,6,Data,      Suburban Ramsey County,16%,3%,6%,76%,89,,,,,,,,,,,,,,
1214,Closed End,Education,Q10B_18,Region,7,Data,   Washington County,13%,7%,5%,79%,105,,,,,,,,,,,,,,
1215,Closed End,Education,Q10B_18,Gender,1,Header,Results by gender:,--,--,--,--,,,,,,,,,,,,,,,
1216,Closed End,Education,Q10B_18,Gender,2,Data,   Females,10%,4%,6%,81%,279,,,,,,,,,,,,,,
1217,Closed End,Education,Q10B_18,Gender,3,Data,   Males,16%,1%,6%,76%,94,,,,,,,,,,,,,,
1218,Closed End,Education,Q10B_18,Age,1,Header,Results by age:,--,--,--,--,,,,,,,,,,,,,,,
1219,Closed End,Education,Q10B_18,Age,2,Data,   18-34,26%,4%,--,71%,48,,,,,,,,,,,,,,
1220,Closed End,Education,Q10B_18,Age,3,Data,   35-44,10%,4%,7%,81%,156,,,,,,,,,,,,,,
1221,Closed End,Education,Q10B_18,Age,4,Data,   45-54,5%,--,12%,83%,125,,,,,,,,,,,,,,
1222,Closed End,Education,Q10B_18,Age,5,Data,   55-64,5%,5%,9%,80%,30,,,,,,,,,,,,,,
1223,Closed End,Education,Q10B_18,Age,6,Data,   65+,--,--,--,--,9,,,,,,,,,,,,,,
1224,Closed End,Education,Q10B_18,Education,1,Header,Results by education level:,--,--,--,--,,,,,,,,,,,,,,,
1225,Closed End,Education,Q10B_18,Education,2,Data,   "Less than HS diploma, no GED",--,--,--,--,6,,,,,,,,,,,,,,
1226,Closed End,Education,Q10B_18,Education,3,Data,   HS diploma or GED,19%,1%,5%,76%,25,,,,,,,,,,,,,,
1227,Closed End,Education,Q10B_18,Education,4,Data,   "Some college, trade school, or Associate degree",12%,8%,7%,74%,91,,,,,,,,,,,,,,
1228,Closed End,Education,Q10B_18,Education,5,Data,   Bachelor's degree or higher,8%,2%,9%,83%,252,,,,,,,,,,,,,,
1229,Closed End,Education,Q10B_18,Household income,1,Header,Results by household income:,--,--,--,--,,,,,,,,,,,,,,,
1230,Closed End,Education,Q10B_18,Household income,2,Data,   "Less than $20,000",--,--,--,--,14,,,,,,,,,,,,,,
1231,Closed End,Education,Q10B_18,Household income,3,Data,   "$20,000 to $39,999",15%,15%,3%,67%,35,,,,,,,,,,,,,,
1232,Closed End,Education,Q10B_18,Household income,4,Data,   "$40,000 to $59,999",7%,1%,3%,90%,41,,,,,,,,,,,,,,
1233,Closed End,Education,Q10B_18,Household income,5,Data,   "$60,000 to $79,999",5%,8%,15%,74%,39,,,,,,,,,,,,,,
1234,Closed End,Education,Q10B_18,Household income,6,Data,   "$80,000 to $99,999",28%,--,1%,71%,44,,,,,,,,,,,,,,
1235,Closed End,Education,Q10B_18,Household income,7,Data,   "$100,000 to $149,999",8%,--,6%,87%,86,,,,,,,,,,,,,,
1236,Closed End,Education,Q10B_18,Household income,8,Data,   "$150,000 or more",14%,1%,6%,81%,72,,,,,,,,,,,,,,
1237,Closed End,Education,Q10B_18,Housing status,1,Header,Results by housing status:,--,--,--,--,,,,,,,,,,,,,,,
1238,Closed End,Education,Q10B_18,Housing status,2,Data,   Owner,11%,1%,7%,81%,309,,,,,,,,,,,,,,
1239,Closed End,Education,Q10B_18,Housing status,3,Data,   Renter,16%,8%,5%,71%,62,,,,,,,,,,,,,,
1240,Closed End,Education,Q10B_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",--,--,--,--,6,,,,,,,,,,,,,,
1241,Closed End,Education,Q10B_18,Home language,1,Header,Results by home language:,--,--,--,--,,,,,,,,,,,,,,,
1242,Closed End,Education,Q10B_18,Home language,2,Data,   English only,12%,4%,8%,78%,313,,,,,,,,,,,,,,
1243,Closed End,Education,Q10B_18,Home language,3,Data,   Engish plus another language,23%,3%,2%,71%,41,,,,,,,,,,,,,,
1244,Closed End,Education,Q10B_18,Home language,4,Data,   Another language only,--,--,--,--,16,,,,,,,,,,,,,,
1245,Closed End,Education,Q10B_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,,,,,,,,,,,,,,,
1246,Closed End,Education,Q10B_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",--,--,--,--,10,,,,,,,,,,,,,,
1247,Closed End,Education,Q10B_18,Race / ethnicity,3,Data,   Asian American or Asian,20%,1%,2%,78%,32,,,,,,,,,,,,,,
1248,Closed End,Education,Q10B_18,Race / ethnicity,4,Data,   "Black, African American, or African",22%,9%,13%,56%,21,,,,,,,,,,,,,,
1249,Closed End,Education,Q10B_18,Race / ethnicity,5,Data,   Hispanic or Latinx,--,--,--,--,19,,,,,,,,,,,,,,
1250,Closed End,Education,Q10B_18,Race / ethnicity,6,Data,   White or Caucasian,11%,3%,7%,81%,299,,,,,,,,,,,,,,
1251,,Education,,,,,,,,,,,,,,,,,,,,,,,,
1252,Closed End,Education,Q10C_18,Title,1,Title,Q10C. Do any of the children who live in your household attend any of the following public charter schools in your neighborhood? (Check all that apply),,,,,,,,,,,,,,,,,,,
1253,Closed End,Education,Q10C_18,Title,2,Labels,,Grade K-6,Grade 7-8,Grade 9-12,No, none of these,Number of respondents (unweighted),,,,,,,,,,,,,,
1254,Closed End,Education,Q10C_18,Region,1,Header,Results by region:,--,--,--,--,,,,,,,,,,,,,,,
1255,Closed End,Education,Q10C_18,Region,2,Data,   East Metro overall,5%,2%,3%,94%,377,,,,,,,,,,,,,,
1256,Closed End,Education,Q10C_18,Region,3,Data,   Dakota County,4%,4%,4%,96%,94,,,,,,,,,,,,,,
1257,Closed End,Education,Q10C_18,Region,4,Data,   Ramsey County (overall),7%,<.5%,2%,91%,178,,,,,,,,,,,,,,
1258,Closed End,Education,Q10C_18,Region,5,Data,      City of Saint Paul,11%,<.5%,2%,86%,89,,,,,,,,,,,,,,
1259,Closed End,Education,Q10C_18,Region,6,Data,      Suburban Ramsey County,--,--,1%,99%,89,,,,,,,,,,,,,,
1260,Closed End,Education,Q10C_18,Region,7,Data,   Washington County,2%,<.5%,2%,96%,105,,,,,,,,,,,,,,
1261,Closed End,Education,Q10C_18,Gender,1,Header,Results by gender:,--,--,--,--,,,,,,,,,,,,,,,
1262,Closed End,Education,Q10C_18,Gender,2,Data,   Females,8%,3%,4%,91%,279,,,,,,,,,,,,,,
1263,Closed End,Education,Q10C_18,Gender,3,Data,   Males,1%,--,1%,98%,94,,,,,,,,,,,,,,
1264,Closed End,Education,Q10C_18,Age,1,Header,Results by age:,--,--,--,--,,,,,,,,,,,,,,,
1265,Closed End,Education,Q10C_18,Age,2,Data,   18-34,16%,6%,6%,84%,48,,,,,,,,,,,,,,
1266,Closed End,Education,Q10C_18,Age,3,Data,   35-44,1%,<.5%,1%,98%,156,,,,,,,,,,,,,,
1267,Closed End,Education,Q10C_18,Age,4,Data,   45-54,1%,<.5%,2%,97%,125,,,,,,,,,,,,,,
1268,Closed End,Education,Q10C_18,Age,5,Data,   55-64,--,--,4%,96%,30,,,,,,,,,,,,,,
1269,Closed End,Education,Q10C_18,Age,6,Data,   65+,--,--,--,--,9,,,,,,,,,,,,,,
1270,Closed End,Education,Q10C_18,Education,1,Header,Results by education level:,--,--,--,--,,,,,,,,,,,,,,,
1271,Closed End,Education,Q10C_18,Education,2,Data,   "Less than HS diploma, no GED",--,--,--,--,6,,,,,,,,,,,,,,
1272,Closed End,Education,Q10C_18,Education,3,Data,   HS diploma or GED,10%,--,--,90%,25,,,,,,,,,,,,,,
1273,Closed End,Education,Q10C_18,Education,4,Data,   "Some college, trade school, or Associate degree",<.5%,--,2%,98%,91,,,,,,,,,,,,,,
1274,Closed End,Education,Q10C_18,Education,5,Data,   Bachelor's degree or higher,2%,1%,2%,95%,252,,,,,,,,,,,,,,
1275,Closed End,Education,Q10C_18,Household income,1,Header,Results by household income:,--,--,--,--,,,,,,,,,,,,,,,
1276,Closed End,Education,Q10C_18,Household income,2,Data,   "Less than $20,000",--,--,--,--,14,,,,,,,,,,,,,,
1277,Closed End,Education,Q10C_18,Household income,3,Data,   "$20,000 to $39,999",15%,1%,2%,83%,35,,,,,,,,,,,,,,
1278,Closed End,Education,Q10C_18,Household income,4,Data,   "$40,000 to $59,999",8%,8%,11%,89%,41,,,,,,,,,,,,,,
1279,Closed End,Education,Q10C_18,Household income,5,Data,   "$60,000 to $79,999",12%,--,5%,83%,39,,,,,,,,,,,,,,
1280,Closed End,Education,Q10C_18,Household income,6,Data,   "$80,000 to $99,999",1%,1%,--,98%,44,,,,,,,,,,,,,,
1281,Closed End,Education,Q10C_18,Household income,7,Data,   "$100,000 to $149,999",1%,--,--,99%,86,,,,,,,,,,,,,,
1282,Closed End,Education,Q10C_18,Household income,8,Data,   "$150,000 or more",2%,--,1%,97%,72,,,,,,,,,,,,,,
1283,Closed End,Education,Q10C_18,Housing status,1,Header,Results by housing status:,--,--,--,--,,,,,,,,,,,,,,,
1284,Closed End,Education,Q10C_18,Housing status,2,Data,   Owner,3%,<.5%,1%,96%,309,,,,,,,,,,,,,,
1285,Closed End,Education,Q10C_18,Housing status,3,Data,   Renter,5%,--,2%,93%,62,,,,,,,,,,,,,,
1286,Closed End,Education,Q10C_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",--,--,--,--,6,,,,,,,,,,,,,,
1287,Closed End,Education,Q10C_18,Home language,1,Header,Results by home language:,--,--,--,--,,,,,,,,,,,,,,,
1288,Closed End,Education,Q10C_18,Home language,2,Data,   English only,3%,<.5%,1%,96%,313,,,,,,,,,,,,,,
1289,Closed End,Education,Q10C_18,Home language,3,Data,   Engish plus another language,10%,9%,8%,89%,41,,,,,,,,,,,,,,
1290,Closed End,Education,Q10C_18,Home language,4,Data,   Another language only,--,--,--,--,16,,,,,,,,,,,,,,
1291,Closed End,Education,Q10C_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,,,,,,,,,,,,,,,
1292,Closed End,Education,Q10C_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",--,--,--,--,10,,,,,,,,,,,,,,
1293,Closed End,Education,Q10C_18,Race / ethnicity,3,Data,   Asian American or Asian,10%,1%,--,90%,32,,,,,,,,,,,,,,
1294,Closed End,Education,Q10C_18,Race / ethnicity,4,Data,   "Black, African American, or African",1%,--,2%,97%,21,,,,,,,,,,,,,,
1295,Closed End,Education,Q10C_18,Race / ethnicity,5,Data,   Hispanic or Latinx,--,--,--,--,19,,,,,,,,,,,,,,
1296,Closed End,Education,Q10C_18,Race / ethnicity,6,Data,   White or Caucasian,1%,<.5%,1%,98%,299,,,,,,,,,,,,,,
1297,,Education,,,,,,,,,,,,,,,,,,,,,,,,
